windDir,windSpeed,temp,dewPoint,pressure
0,0,6,6,1027
340,7,12,9,1026
330,10,11,10,1025
330,9,10,7,1026
300,3,8,5,1027
340,6,8,4,1026
350,3,6,5,1025
10,3,4,2,1026
320,14,4,3,1027
10,21,4,2,1028
320,10,7,5,1026
330,11,4,3,1026
320,5,4,2,1026
250,3,4,2,1023
310,10,2,2,1020
340,12,4,0,1021
310,6,2,1,1022
350,12,5,4,1023
20,20,5,2,1024
20,12,4,1,1025
30,10,3,1,1026
0,0,2,1,1026
0,0,1,1,1025
0,0,2,1,1025
30,7,2,1,1026
10,8,4,1,1027
20,13,4,2,1026
20,6,4,1,1026
10,4,4,1,1026
30,6,3,2,1025
0,0,2,2,1024
20,11,4,3,1023
20,9,5,3,1023
360,8,6,2,1024
20,13,6,1,1023
360,8,5,1,1023
360,9,5,0,1023
20,9,3,1,1023
10,6,4,0,1022
360,2,3,-1,1022
330,8,2,1,1021
330,5,4,2,1020
30,13,3,0,1018
80,3,3,1,1019
0,0,-1,-1,1020
0,0,0,-1,1020
320,2,-1,-1,1020
0,0,-1,-1,1020
0,0,1,0,1020
110,9,6,2,1020
130,8,6,3,1019
70,4,5,2,1019
60,4,5,3,1021
290,2,4,2,1021
0,0,4,2,1021
30,2,2,1,1020
110,4,8,4,1021
0,2,11,2,1021
130,5,12,2,1019
0,2,9,2,1019
0,1,2,1,1020
0,0,1,0,1020
50,2,-1,-1,1020
0,0,-3,-3,1020
0,0,2,1,1020
60,1,12,3,1020
40,3,14,-3,1018
20,9,9,4,1018
0,0,4,3,1020
0,0,1,1,1020
